dt,gw,status,home,away,pH,pD,pA,pO25,o1,ox,o2,o25,iH,iD,iA,hg,ag,res
2026-08-09 00:00:00,4.0,incomplete,Instituto,Gimnasia Mendoza,0.48339540958446314,0.24719025559684518,0.2694143348186918,0.571952551580269,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Rosario Central,Aldosivi,0.6139120680839005,0.20926846297368418,0.17681946894241543,0.6293692878237201,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Argentinos Juniors,Racing Club,0.5488594322367315,0.21958288253972175,0.23155768522354694,0.6584275452094096,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Boca Juniors,Vélez Sarsfield,0.44780618625993046,0.23935903888286525,0.3128347748572042,0.6309480349521537,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Defensa y Justicia,Newell's Old Boys,0.4183881302430839,0.26660257059090375,0.3150092991660124,0.5142967162488163,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Deportivo Riestra,Estudiantes,0.27805333299876417,0.2435788646467447,0.47836780235449117,0.5933430969082252,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Independiente,Platense,0.4682747746419841,0.24217593318812028,0.2895492921698956,0.6066026872493556,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Independiente Rivadavia,Estudiantes Río Cuarto,0.6594972283061933,0.19120768740365351,0.14929508429015348,0.6587437076780336,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Atlético Tucumán,Sarmiento,0.4430155561190085,0.25716482046929007,0.2998196234117014,0.5474767286390148,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Unión Santa Fe,Central Córdoba SdE,0.6347183009227131,0.20229659374996253,0.16298510532732435,0.6358660805400151,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Gimnasia La Plata,Barracas Central,0.4275220370487788,0.2628265022889759,0.30965146066224514,0.5279554563475921,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Tigre,River Plate,0.33918512339752405,0.22389465598488803,0.43692022061758784,0.7112966650539627,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,San Lorenzo,Huracán,0.39433681047995006,0.2689588099212147,0.33670437959883537,0.510075669576247,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-09 00:00:00,4.0,incomplete,Banfield,Belgrano,0.37856333994359426,0.2579089968606642,0.36352766319574165,0.5603084247604533,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Gimnasia Mendoza,Talleres Córdoba,0.3669931126507564,0.26436089055115186,0.36864599679809174,0.5322525998888847,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Estudiantes,Gimnasia La Plata,0.5019215902985329,0.23892828886814657,0.2591501208333207,0.599587859808854,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,River Plate,Argentinos Juniors,0.4686521617636896,0.21511096203864782,0.3162368761976624,0.7428807866325798,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,San Lorenzo,Unión Santa Fe,0.2911154641244317,0.23501109549668553,0.47387344037888274,0.6392965903810115,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Central Córdoba SdE,Instituto,0.29348462211200216,0.26329935250998887,0.443216025378009,0.5191677382499222,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Belgrano,Independiente Rivadavia,0.34599859342306516,0.24250155038343563,0.41149985619349916,0.6273321222934523,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Barracas Central,Rosario Central,0.3215970166387883,0.24624552696304935,0.4321574563981622,0.6036163796439331,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Platense,Boca Juniors,0.3471616360674714,0.24535022112709853,0.40748814280543,0.6146091158419614,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Newell's Old Boys,Deportivo Riestra,0.4361891757670903,0.2629872306912906,0.300823593541619,0.5237567129164487,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Vélez Sarsfield,Defensa y Justicia,0.5041778659479326,0.24419921301106398,0.25162292104100337,0.5708043463164822,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Sarmiento,Huracán,0.3810589775272493,0.27013290923081656,0.34880811324193434,0.5069142101902553,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Lanús,Independiente,0.39237463428681063,0.25189085379338133,0.3557345119198081,0.5864384041275447,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Aldosivi,Tigre,0.2846877495425516,0.24602520312857448,0.46928704732887383,0.5869433966123435,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Estudiantes Río Cuarto,Atlético Tucumán,0.31707473533872177,0.2560840369286463,0.4268412277326318,0.5590427595676704,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-16 00:00:00,5.0,incomplete,Racing Club,Banfield,0.4317338126564391,0.25432447586949625,0.3139417114740644,0.565458842058073,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-23 00:00:00,6.0,incomplete,Lanús,Argentinos Juniors,0.3185447023236621,0.23765996909959336,0.4437953285767445,0.6409885813241323,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-23 00:00:00,6.0,incomplete,River Plate,Vélez Sarsfield,0.5338464753211203,0.2141451467140276,0.2520083779648522,0.7034906837206398,0.0,0.0,0.0,0.0,,,,0,0,D
2026-08-23 00:00:00,6.0,incomplete,Belgrano,Defensa y Justicia,0.4776851446601038,0.2547959356228085,0.26751891971708763,0.538861942991316,0.0,0.0,0.0,0.0,,,,0,0,D
